timestamp,interface,protocol,src_mac,dst_mac,src_ip,dst_ip,size,summary
2026-04-14T15:27:39.860,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:40.115,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,162.247.243.29,1059,TCP 47574 -> 443 flags=PA
2026-04-14T15:27:40.116,wlp60s0,DNS,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,193.137.16.65,105,DNS query
2026-04-14T15:27:40.121,wlp60s0,DNS,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,193.137.16.65,172.26.22.44,177,DNS response
2026-04-14T15:27:40.123,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,162.247.243.29,172.26.22.44,66,TCP 443 -> 47574 flags=A
2026-04-14T15:27:40.280,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,162.247.243.29,172.26.22.44,477,TCP 443 -> 47574 flags=PA
2026-04-14T15:27:40.280,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,162.247.243.29,66,TCP 47574 -> 443 flags=A
2026-04-14T15:27:40.457,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.58.20.192,112,TCP 59690 -> 443 flags=PA
2026-04-14T15:27:40.513,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.58.20.192,172.26.22.44,66,TCP 443 -> 59690 flags=A
2026-04-14T15:27:40.563,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.58.20.192,112,TCP 42698 -> 443 flags=PA
2026-04-14T15:27:40.612,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.58.20.192,172.26.22.44,66,TCP 443 -> 42698 flags=A
2026-04-14T15:27:41.564,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,185,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.564,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.564,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.614,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.615,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.615,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,1304,TCP 37732 -> 443 flags=A
2026-04-14T15:27:41.832,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:41.832,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.832,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:41.832,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
